idx,distractors,condition,good,bad
421,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
422,1,subj_sg_d1_pl,The [wug] under the boxes jumps high.,The [wug] under the boxes jump high.
423,1,subj_pl_d1_sg,The [wugs] under the box jump high.,The [wugs] under the box jumps high.
424,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats jumps high.,The [wug] under the boxes and beside the cats jump high.
425,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat jump high.,The [wugs] under the box and beside the cat jumps high.
426,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs jumps high.","The [wug] under the boxes, beside the cats, and in front of the dogs jump high."
427,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog jump high.","The [wugs] under the box, beside the cat, and in front of the dog jumps high."
428,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses jumps high.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses jump high."
429,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse jump high.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse jumps high."
430,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
431,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
432,1,subj_sg_d1_pl,The [wug] beside the cats jumps high.,The [wug] beside the cats jump high.
433,1,subj_pl_d1_sg,The [wugs] beside the cat jump high.,The [wugs] beside the cat jumps high.
434,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs jumps high.,The [wug] beside the cats and in front of the dogs jump high.
435,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog jump high.,The [wugs] beside the cat and in front of the dog jumps high.
436,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses jumps high.","The [wug] beside the cats, in front of the dogs, and next to the horses jump high."
437,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse jump high.","The [wugs] beside the cat, in front of the dog, and next to the horse jumps high."
438,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women jumps high.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women jump high."
439,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman jump high.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman jumps high."
440,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
441,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
442,1,subj_sg_d1_pl,The [wug] in front of the dogs jumps high.,The [wug] in front of the dogs jump high.
443,1,subj_pl_d1_sg,The [wugs] in front of the dog jump high.,The [wugs] in front of the dog jumps high.
444,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses jumps high.,The [wug] in front of the dogs and next to the horses jump high.
445,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse jump high.,The [wugs] in front of the dog and next to the horse jumps high.
446,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women jumps high.","The [wug] in front of the dogs, next to the horses, and past the women jump high."
447,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman jump high.","The [wugs] in front of the dog, next to the horse, and past the woman jumps high."
448,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men jumps high.","The [wug] in front of the dogs, next to the horses, past the women, and near the men jump high."
449,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man jump high.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man jumps high."
450,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
451,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
452,1,subj_sg_d1_pl,The [wug] next to the horses jumps high.,The [wug] next to the horses jump high.
453,1,subj_pl_d1_sg,The [wugs] next to the horse jump high.,The [wugs] next to the horse jumps high.
454,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women jumps high.,The [wug] next to the horses and past the women jump high.
455,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman jump high.,The [wugs] next to the horse and past the woman jumps high.
456,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men jumps high.","The [wug] next to the horses, past the women, and near the men jump high."
457,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man jump high.","The [wugs] next to the horse, past the woman, and near the man jumps high."
458,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes jumps high.","The [wug] next to the horses, past the women, near the men, and behind the foxes jump high."
459,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox jump high.","The [wugs] next to the horse, past the woman, near the man, and behind the fox jumps high."
460,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
461,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
462,1,subj_sg_d1_pl,The [wug] past the women jumps high.,The [wug] past the women jump high.
463,1,subj_pl_d1_sg,The [wugs] past the woman jump high.,The [wugs] past the woman jumps high.
464,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men jumps high.,The [wug] past the women and near the men jump high.
465,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man jump high.,The [wugs] past the woman and near the man jumps high.
466,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes jumps high.","The [wug] past the women, near the men, and behind the foxes jump high."
467,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox jump high.","The [wugs] past the woman, near the man, and behind the fox jumps high."
468,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds jumps high.","The [wug] past the women, near the men, behind the foxes, and under the birds jump high."
469,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird jump high.","The [wugs] past the woman, near the man, behind the fox, and under the bird jumps high."
470,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
471,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
472,1,subj_sg_d1_pl,The [wug] near the men jumps high.,The [wug] near the men jump high.
473,1,subj_pl_d1_sg,The [wugs] near the man jump high.,The [wugs] near the man jumps high.
474,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes jumps high.,The [wug] near the men and behind the foxes jump high.
475,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox jump high.,The [wugs] near the man and behind the fox jumps high.
476,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds jumps high.","The [wug] near the men, behind the foxes, and under the birds jump high."
477,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird jump high.","The [wugs] near the man, behind the fox, and under the bird jumps high."
478,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees jumps high.","The [wug] near the men, behind the foxes, under the birds, and beside the trees jump high."
479,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree jump high.","The [wugs] near the man, behind the fox, under the bird, and beside the tree jumps high."
480,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
481,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
482,1,subj_sg_d1_pl,The [wug] behind the foxes jumps high.,The [wug] behind the foxes jump high.
483,1,subj_pl_d1_sg,The [wugs] behind the fox jump high.,The [wugs] behind the fox jumps high.
484,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds jumps high.,The [wug] behind the foxes and under the birds jump high.
485,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird jump high.,The [wugs] behind the fox and under the bird jumps high.
486,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees jumps high.","The [wug] behind the foxes, under the birds, and beside the trees jump high."
487,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree jump high.","The [wugs] behind the fox, under the bird, and beside the tree jumps high."
488,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars jumps high.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars jump high."
489,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car jump high.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car jumps high."
490,0,subj_sg,The [wug] jumps high.,The [wug] jump high.
491,0,subj_pl,The [wugs] jump high.,The [wugs] jumps high.
492,1,subj_sg_d1_pl,The [wug] under the birds jumps high.,The [wug] under the birds jump high.
493,1,subj_pl_d1_sg,The [wugs] under the bird jump high.,The [wugs] under the bird jumps high.
494,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees jumps high.,The [wug] under the birds and beside the trees jump high.
495,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree jump high.,The [wugs] under the bird and beside the tree jumps high.
496,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars jumps high.","The [wug] under the birds, beside the trees, and in front of the cars jump high."
497,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car jump high.","The [wugs] under the bird, beside the tree, and in front of the car jumps high."
498,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes jumps high.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes jump high."
499,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box jump high.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box jumps high."
500,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
501,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
502,1,subj_sg_d1_pl,The [wug] near the trees opens doors.,The [wug] near the trees open doors.
503,1,subj_pl_d1_sg,The [wugs] near the tree open doors.,The [wugs] near the tree opens doors.
504,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars opens doors.,The [wug] near the trees and behind the cars open doors.
505,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car open doors.,The [wugs] near the tree and behind the car opens doors.
506,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes opens doors.","The [wug] near the trees, behind the cars, and under the boxes open doors."
507,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box open doors.","The [wugs] near the tree, behind the car, and under the box opens doors."
508,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats opens doors.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats open doors."
509,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat open doors.","The [wugs] near the tree, behind the car, under the box, and beside the cat opens doors."
510,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
511,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
512,1,subj_sg_d1_pl,The [wug] behind the cars opens doors.,The [wug] behind the cars open doors.
513,1,subj_pl_d1_sg,The [wugs] behind the car open doors.,The [wugs] behind the car opens doors.
514,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes opens doors.,The [wug] behind the cars and under the boxes open doors.
515,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box open doors.,The [wugs] behind the car and under the box opens doors.
516,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats opens doors.","The [wug] behind the cars, under the boxes, and beside the cats open doors."
517,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat open doors.","The [wugs] behind the car, under the box, and beside the cat opens doors."
518,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs opens doors.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs open doors."
519,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog open doors.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog opens doors."
520,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
521,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
522,1,subj_sg_d1_pl,The [wug] under the boxes opens doors.,The [wug] under the boxes open doors.
523,1,subj_pl_d1_sg,The [wugs] under the box open doors.,The [wugs] under the box opens doors.
524,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats opens doors.,The [wug] under the boxes and beside the cats open doors.
525,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat open doors.,The [wugs] under the box and beside the cat opens doors.
526,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs opens doors.","The [wug] under the boxes, beside the cats, and in front of the dogs open doors."
527,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog open doors.","The [wugs] under the box, beside the cat, and in front of the dog opens doors."
528,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses opens doors.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses open doors."
529,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse open doors.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse opens doors."
530,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
531,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
532,1,subj_sg_d1_pl,The [wug] beside the cats opens doors.,The [wug] beside the cats open doors.
533,1,subj_pl_d1_sg,The [wugs] beside the cat open doors.,The [wugs] beside the cat opens doors.
534,2,subj_sg_d1_pl_d2_pl,The [wug] beside the cats and in front of the dogs opens doors.,The [wug] beside the cats and in front of the dogs open doors.
535,2,subj_pl_d1_sg_d2_sg,The [wugs] beside the cat and in front of the dog open doors.,The [wugs] beside the cat and in front of the dog opens doors.
536,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] beside the cats, in front of the dogs, and next to the horses opens doors.","The [wug] beside the cats, in front of the dogs, and next to the horses open doors."
537,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] beside the cat, in front of the dog, and next to the horse open doors.","The [wugs] beside the cat, in front of the dog, and next to the horse opens doors."
538,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] beside the cats, in front of the dogs, next to the horses, and past the women opens doors.","The [wug] beside the cats, in front of the dogs, next to the horses, and past the women open doors."
539,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman open doors.","The [wugs] beside the cat, in front of the dog, next to the horse, and past the woman opens doors."
540,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
541,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
542,1,subj_sg_d1_pl,The [wug] in front of the dogs opens doors.,The [wug] in front of the dogs open doors.
543,1,subj_pl_d1_sg,The [wugs] in front of the dog open doors.,The [wugs] in front of the dog opens doors.
544,2,subj_sg_d1_pl_d2_pl,The [wug] in front of the dogs and next to the horses opens doors.,The [wug] in front of the dogs and next to the horses open doors.
545,2,subj_pl_d1_sg_d2_sg,The [wugs] in front of the dog and next to the horse open doors.,The [wugs] in front of the dog and next to the horse opens doors.
546,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] in front of the dogs, next to the horses, and past the women opens doors.","The [wug] in front of the dogs, next to the horses, and past the women open doors."
547,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] in front of the dog, next to the horse, and past the woman open doors.","The [wugs] in front of the dog, next to the horse, and past the woman opens doors."
548,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] in front of the dogs, next to the horses, past the women, and near the men opens doors.","The [wug] in front of the dogs, next to the horses, past the women, and near the men open doors."
549,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] in front of the dog, next to the horse, past the woman, and near the man open doors.","The [wugs] in front of the dog, next to the horse, past the woman, and near the man opens doors."
550,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
551,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
552,1,subj_sg_d1_pl,The [wug] next to the horses opens doors.,The [wug] next to the horses open doors.
553,1,subj_pl_d1_sg,The [wugs] next to the horse open doors.,The [wugs] next to the horse opens doors.
554,2,subj_sg_d1_pl_d2_pl,The [wug] next to the horses and past the women opens doors.,The [wug] next to the horses and past the women open doors.
555,2,subj_pl_d1_sg_d2_sg,The [wugs] next to the horse and past the woman open doors.,The [wugs] next to the horse and past the woman opens doors.
556,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] next to the horses, past the women, and near the men opens doors.","The [wug] next to the horses, past the women, and near the men open doors."
557,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] next to the horse, past the woman, and near the man open doors.","The [wugs] next to the horse, past the woman, and near the man opens doors."
558,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] next to the horses, past the women, near the men, and behind the foxes opens doors.","The [wug] next to the horses, past the women, near the men, and behind the foxes open doors."
559,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] next to the horse, past the woman, near the man, and behind the fox open doors.","The [wugs] next to the horse, past the woman, near the man, and behind the fox opens doors."
560,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
561,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
562,1,subj_sg_d1_pl,The [wug] past the women opens doors.,The [wug] past the women open doors.
563,1,subj_pl_d1_sg,The [wugs] past the woman open doors.,The [wugs] past the woman opens doors.
564,2,subj_sg_d1_pl_d2_pl,The [wug] past the women and near the men opens doors.,The [wug] past the women and near the men open doors.
565,2,subj_pl_d1_sg_d2_sg,The [wugs] past the woman and near the man open doors.,The [wugs] past the woman and near the man opens doors.
566,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] past the women, near the men, and behind the foxes opens doors.","The [wug] past the women, near the men, and behind the foxes open doors."
567,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] past the woman, near the man, and behind the fox open doors.","The [wugs] past the woman, near the man, and behind the fox opens doors."
568,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] past the women, near the men, behind the foxes, and under the birds opens doors.","The [wug] past the women, near the men, behind the foxes, and under the birds open doors."
569,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] past the woman, near the man, behind the fox, and under the bird open doors.","The [wugs] past the woman, near the man, behind the fox, and under the bird opens doors."
570,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
571,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
572,1,subj_sg_d1_pl,The [wug] near the men opens doors.,The [wug] near the men open doors.
573,1,subj_pl_d1_sg,The [wugs] near the man open doors.,The [wugs] near the man opens doors.
574,2,subj_sg_d1_pl_d2_pl,The [wug] near the men and behind the foxes opens doors.,The [wug] near the men and behind the foxes open doors.
575,2,subj_pl_d1_sg_d2_sg,The [wugs] near the man and behind the fox open doors.,The [wugs] near the man and behind the fox opens doors.
576,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the men, behind the foxes, and under the birds opens doors.","The [wug] near the men, behind the foxes, and under the birds open doors."
577,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the man, behind the fox, and under the bird open doors.","The [wugs] near the man, behind the fox, and under the bird opens doors."
578,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the men, behind the foxes, under the birds, and beside the trees opens doors.","The [wug] near the men, behind the foxes, under the birds, and beside the trees open doors."
579,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the man, behind the fox, under the bird, and beside the tree open doors.","The [wugs] near the man, behind the fox, under the bird, and beside the tree opens doors."
580,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
581,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
582,1,subj_sg_d1_pl,The [wug] behind the foxes opens doors.,The [wug] behind the foxes open doors.
583,1,subj_pl_d1_sg,The [wugs] behind the fox open doors.,The [wugs] behind the fox opens doors.
584,2,subj_sg_d1_pl_d2_pl,The [wug] behind the foxes and under the birds opens doors.,The [wug] behind the foxes and under the birds open doors.
585,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the fox and under the bird open doors.,The [wugs] behind the fox and under the bird opens doors.
586,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the foxes, under the birds, and beside the trees opens doors.","The [wug] behind the foxes, under the birds, and beside the trees open doors."
587,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the fox, under the bird, and beside the tree open doors.","The [wugs] behind the fox, under the bird, and beside the tree opens doors."
588,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars opens doors.","The [wug] behind the foxes, under the birds, beside the trees, and in front of the cars open doors."
589,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the fox, under the bird, beside the tree, and in front of the car open doors.","The [wugs] behind the fox, under the bird, beside the tree, and in front of the car opens doors."
590,0,subj_sg,The [wug] opens doors.,The [wug] open doors.
591,0,subj_pl,The [wugs] open doors.,The [wugs] opens doors.
592,1,subj_sg_d1_pl,The [wug] under the birds opens doors.,The [wug] under the birds open doors.
593,1,subj_pl_d1_sg,The [wugs] under the bird open doors.,The [wugs] under the bird opens doors.
594,2,subj_sg_d1_pl_d2_pl,The [wug] under the birds and beside the trees opens doors.,The [wug] under the birds and beside the trees open doors.
595,2,subj_pl_d1_sg_d2_sg,The [wugs] under the bird and beside the tree open doors.,The [wugs] under the bird and beside the tree opens doors.
596,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the birds, beside the trees, and in front of the cars opens doors.","The [wug] under the birds, beside the trees, and in front of the cars open doors."
597,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the bird, beside the tree, and in front of the car open doors.","The [wugs] under the bird, beside the tree, and in front of the car opens doors."
598,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes opens doors.","The [wug] under the birds, beside the trees, in front of the cars, and next to the boxes open doors."
599,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the bird, beside the tree, in front of the car, and next to the box open doors.","The [wugs] under the bird, beside the tree, in front of the car, and next to the box opens doors."
600,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
601,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
602,1,subj_sg_d1_pl,The [wug] near the trees runs fast.,The [wug] near the trees run fast.
603,1,subj_pl_d1_sg,The [wugs] near the tree run fast.,The [wugs] near the tree runs fast.
604,2,subj_sg_d1_pl_d2_pl,The [wug] near the trees and behind the cars runs fast.,The [wug] near the trees and behind the cars run fast.
605,2,subj_pl_d1_sg_d2_sg,The [wugs] near the tree and behind the car run fast.,The [wugs] near the tree and behind the car runs fast.
606,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] near the trees, behind the cars, and under the boxes runs fast.","The [wug] near the trees, behind the cars, and under the boxes run fast."
607,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] near the tree, behind the car, and under the box run fast.","The [wugs] near the tree, behind the car, and under the box runs fast."
608,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] near the trees, behind the cars, under the boxes, and beside the cats runs fast.","The [wug] near the trees, behind the cars, under the boxes, and beside the cats run fast."
609,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] near the tree, behind the car, under the box, and beside the cat run fast.","The [wugs] near the tree, behind the car, under the box, and beside the cat runs fast."
610,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
611,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
612,1,subj_sg_d1_pl,The [wug] behind the cars runs fast.,The [wug] behind the cars run fast.
613,1,subj_pl_d1_sg,The [wugs] behind the car run fast.,The [wugs] behind the car runs fast.
614,2,subj_sg_d1_pl_d2_pl,The [wug] behind the cars and under the boxes runs fast.,The [wug] behind the cars and under the boxes run fast.
615,2,subj_pl_d1_sg_d2_sg,The [wugs] behind the car and under the box run fast.,The [wugs] behind the car and under the box runs fast.
616,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] behind the cars, under the boxes, and beside the cats runs fast.","The [wug] behind the cars, under the boxes, and beside the cats run fast."
617,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] behind the car, under the box, and beside the cat run fast.","The [wugs] behind the car, under the box, and beside the cat runs fast."
618,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs runs fast.","The [wug] behind the cars, under the boxes, beside the cats, and in front of the dogs run fast."
619,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] behind the car, under the box, beside the cat, and in front of the dog run fast.","The [wugs] behind the car, under the box, beside the cat, and in front of the dog runs fast."
620,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
621,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
622,1,subj_sg_d1_pl,The [wug] under the boxes runs fast.,The [wug] under the boxes run fast.
623,1,subj_pl_d1_sg,The [wugs] under the box run fast.,The [wugs] under the box runs fast.
624,2,subj_sg_d1_pl_d2_pl,The [wug] under the boxes and beside the cats runs fast.,The [wug] under the boxes and beside the cats run fast.
625,2,subj_pl_d1_sg_d2_sg,The [wugs] under the box and beside the cat run fast.,The [wugs] under the box and beside the cat runs fast.
626,3,subj_sg_d1_pl_d2_pl_d3_pl,"The [wug] under the boxes, beside the cats, and in front of the dogs runs fast.","The [wug] under the boxes, beside the cats, and in front of the dogs run fast."
627,3,subj_pl_d1_sg_d2_sg_d3_sg,"The [wugs] under the box, beside the cat, and in front of the dog run fast.","The [wugs] under the box, beside the cat, and in front of the dog runs fast."
628,4,subj_sg_d1_pl_d2_pl_d3_pl_d4_pl,"The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses runs fast.","The [wug] under the boxes, beside the cats, in front of the dogs, and next to the horses run fast."
629,4,subj_pl_d1_sg_d2_sg_d3_sg_d4_sg,"The [wugs] under the box, beside the cat, in front of the dog, and next to the horse run fast.","The [wugs] under the box, beside the cat, in front of the dog, and next to the horse runs fast."
630,0,subj_sg,The [wug] runs fast.,The [wug] run fast.
631,0,subj_pl,The [wugs] run fast.,The [wugs] runs fast.
632,1,subj_sg_d1_pl,The [wug] beside the cats runs fast.,The [wug] beside the cats run fast.
