idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl,set_id,singular_item_id,plural_item_id
1785,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The wary [wug] below the tents between the poles,The wary [wugs] below the tent between the pole,The wary [wug] below the tents between the poles is,The wary [wug] below the tents between the poles are,The wary [wugs] below the tent between the pole are,The wary [wugs] below the tent between the pole is,13,13,f079684c-9b81-48f2-987e-5060982ab6d6,d4137ba6-41a4-4616-993c-737827434090,f309e429-eb8b-4bb4-8be3-38efbb39409d
1786,test,verb,2,target_verb_att2_opp,[wug],[wugs],signals,signal,The wary [wug] beside the fences under the lamps,The wary [wugs] beside the fence under the lamp,The wary [wug] beside the fences under the lamps signals,The wary [wug] beside the fences under the lamps signal,The wary [wugs] beside the fence under the lamp signal,The wary [wugs] beside the fence under the lamp signals,13,13,9891d7f7-fbc9-40c3-bf1a-7a1f53232270,bc9bdb11-8a41-418a-a4a6-acfbb28fc951,c229536f-ee82-4cb8-b8d8-a475e866f20e
1787,test,verb,2,target_verb_att2_opp,[wug],[wugs],tastes,taste,The gentle [wug] between the cabinets atop the desks,The gentle [wugs] between the cabinet atop the desk,The gentle [wug] between the cabinets atop the desks tastes,The gentle [wug] between the cabinets atop the desks taste,The gentle [wugs] between the cabinet atop the desk taste,The gentle [wugs] between the cabinet atop the desk tastes,13,13,37926d64-134b-4307-ab57-e6d58486877f,82a9f3fc-1d28-48fc-a80f-e8b2ceedee7c,589f3b03-a3f3-4848-b323-4051231ccad8
1788,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The strange [wug] by the pens above the bulbs,The strange [wugs] by the pen above the bulb,The strange [wug] by the pens above the bulbs is,The strange [wug] by the pens above the bulbs are,The strange [wugs] by the pen above the bulb are,The strange [wugs] by the pen above the bulb is,13,13,77a6ac20-5fe3-4ce2-adc4-38381bd77375,c7206064-5f1d-4974-ba59-9fc7272523d7,f6f453cb-492c-42c3-8dce-3064e0dd39e3
1789,test,verb,2,target_verb_att2_opp,[wug],[wugs],meets,meet,The lively [wug] beside the sockets under the wires,The lively [wugs] beside the socket under the wire,The lively [wug] beside the sockets under the wires meets,The lively [wug] beside the sockets under the wires meet,The lively [wugs] beside the socket under the wire meet,The lively [wugs] beside the socket under the wire meets,13,13,35eaaf5e-fa7f-427a-905a-58f283ea46ea,f2a08397-560e-49c4-a7f0-0289601bd4c8,909a3281-c2d9-46ac-891b-4e28384eb4c2
1790,test,verb,2,target_verb_att2_opp,[wug],[wugs],slips,slip,The sturdy [wug] below the ponds between the bridges,The sturdy [wugs] below the pond between the bridge,The sturdy [wug] below the ponds between the bridges slips,The sturdy [wug] below the ponds between the bridges slip,The sturdy [wugs] below the pond between the bridge slip,The sturdy [wugs] below the pond between the bridge slips,13,13,1ed1c091-64fa-4066-86e8-574adb735a6d,4d6e792e-ad16-4dcc-a463-a5e72845ab54,540e2ddc-859b-4bb1-a80e-841bba623831
1791,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The clumsy [wug] below the locks between the jars,The clumsy [wugs] below the lock between the jar,The clumsy [wug] below the locks between the jars is,The clumsy [wug] below the locks between the jars are,The clumsy [wugs] below the lock between the jar are,The clumsy [wugs] below the lock between the jar is,13,13,a2226343-f161-4f59-af86-ad61bd0fe24a,3c484c6c-c5ed-4fe9-ab6c-c55ca9d7b244,ce140f2a-68bc-4290-8b44-e09d59930afd
1792,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The fierce [wug] near the desks beside the sofas,The fierce [wugs] near the desk beside the sofa,The fierce [wug] near the desks beside the sofas is,The fierce [wug] near the desks beside the sofas are,The fierce [wugs] near the desk beside the sofa are,The fierce [wugs] near the desk beside the sofa is,13,13,1ba9189b-9e72-435a-9931-ea255f3180c9,960d312f-44e4-4375-b521-a9b9f0aee634,68c55dd4-524b-46d8-8c0f-696774832698
1793,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The clumsy [wug] near the buckets beside the sacks,The clumsy [wugs] near the bucket beside the sack,The clumsy [wug] near the buckets beside the sacks is,The clumsy [wug] near the buckets beside the sacks are,The clumsy [wugs] near the bucket beside the sack are,The clumsy [wugs] near the bucket beside the sack is,13,13,da0f8176-bab7-4590-97c2-e007a30e20c9,dc19a248-5c28-43f9-a944-a8bd60585a56,6bcebb63-1398-44c6-a4e2-bf787659b790
1794,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The fierce [wug] by the pens above the bulbs,The fierce [wugs] by the pen above the bulb,The fierce [wug] by the pens above the bulbs is,The fierce [wug] by the pens above the bulbs are,The fierce [wugs] by the pen above the bulb are,The fierce [wugs] by the pen above the bulb is,13,13,4fffe56e-2ae6-4b9d-a980-46a7cb436676,645d24c3-832c-48e4-9f5a-0947540e70e0,066478cf-90d2-4ee0-bfee-5f1aee9cfce9
1795,test,verb,2,target_verb_att2_opp,[wug],[wugs],circles,circle,The tiny [wug] atop the baskets opposite the pillars,The tiny [wugs] atop the basket opposite the pillar,The tiny [wug] atop the baskets opposite the pillars circles,The tiny [wug] atop the baskets opposite the pillars circle,The tiny [wugs] atop the basket opposite the pillar circle,The tiny [wugs] atop the basket opposite the pillar circles,13,13,2c4d61d1-324e-44e2-a9ed-9690ed6160b8,f77244e1-6592-4857-8476-3141a3a6e7dd,240341c7-b173-4454-865c-7a809b4e5a51
1796,test,verb,2,target_verb_att2_opp,[wug],[wugs],threads,thread,The curious [wug] under the nails by the switches,The curious [wugs] under the nail by the switch,The curious [wug] under the nails by the switches threads,The curious [wug] under the nails by the switches thread,The curious [wugs] under the nail by the switch thread,The curious [wugs] under the nail by the switch threads,13,13,b572c764-da5b-4f66-96c3-5d4b49bd749e,4e15468a-7c5e-4804-8552-a3598070f2d8,0763b24d-4ebd-433e-be22-f3b4b9dc481b
1797,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The clumsy [wug] under the lamps by the sheds,The clumsy [wugs] under the lamp by the shed,The clumsy [wug] under the lamps by the sheds is,The clumsy [wug] under the lamps by the sheds are,The clumsy [wugs] under the lamp by the shed are,The clumsy [wugs] under the lamp by the shed is,13,13,103b57d2-8fa2-4b16-a3c4-1bb203e178e4,8e85103b-ae50-40d6-a5a2-e79ec6a4f4f4,6c38f4ad-d6ac-4e48-8afb-c90ecf64b07c
1798,test,verb,2,target_verb_att2_opp,[wug],[wugs],knows,know,The curious [wug] between the cliffs atop the slopes,The curious [wugs] between the cliff atop the slope,The curious [wug] between the cliffs atop the slopes knows,The curious [wug] between the cliffs atop the slopes know,The curious [wugs] between the cliff atop the slope know,The curious [wugs] between the cliff atop the slope knows,13,13,d1b751dc-fbb0-4061-b8f4-ceb91fe4242d,0b78a5f3-c4d2-4bdc-b9ef-86e28197b2f1,9aacfc14-35c9-40bd-80ac-d42f112f40b0
1799,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The tiny [wug] by the cords above the straps,The tiny [wugs] by the cord above the strap,The tiny [wug] by the cords above the straps is,The tiny [wug] by the cords above the straps are,The tiny [wugs] by the cord above the strap are,The tiny [wugs] by the cord above the strap is,13,13,4ea73be4-3973-418e-9334-ecbc90088d96,50cbac80-240d-4fc2-8e94-342508832969,2ad18579-6fb7-42b0-81af-98d54eec2eda
1800,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The clumsy [wug] atop the gates opposite the fences,The clumsy [wugs] atop the gate opposite the fence,The clumsy [wug] atop the gates opposite the fences is,The clumsy [wug] atop the gates opposite the fences are,The clumsy [wugs] atop the gate opposite the fence are,The clumsy [wugs] atop the gate opposite the fence is,13,13,874987b8-3fec-4d89-8ab4-dcd94cfcaafb,5800e973-eab6-4bf7-985b-1f5773283b53,3f8c4197-5e1f-43ad-9e95-92f7cc1dd2f6
1801,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The wary [wug] by the beams above the braces,The wary [wugs] by the beam above the brace,The wary [wug] by the beams above the braces is,The wary [wug] by the beams above the braces are,The wary [wugs] by the beam above the brace are,The wary [wugs] by the beam above the brace is,13,13,cb662624-75bb-48d6-99b6-12e3f13442e1,81670ab2-90bd-4186-b72a-dcfb83ef3b9c,85af8a20-3fa4-4bb4-a713-df6e4667c60a
1802,test,verb,2,target_verb_att2_opp,[wug],[wugs],slips,slip,The tiny [wug] beside the braces under the panels,The tiny [wugs] beside the brace under the panel,The tiny [wug] beside the braces under the panels slips,The tiny [wug] beside the braces under the panels slip,The tiny [wugs] beside the brace under the panel slip,The tiny [wugs] beside the brace under the panel slips,13,13,220633ec-22e0-430e-912d-9451e235a05d,383d5adb-11f9-4607-8c3e-61b45d8a186c,ed109cea-1f0f-4639-8abc-cecd00912b3f
1803,test,verb,2,target_verb_att2_opp,[wug],[wugs],waves,wave,The gentle [wug] below the nails between the switches,The gentle [wugs] below the nail between the switch,The gentle [wug] below the nails between the switches waves,The gentle [wug] below the nails between the switches wave,The gentle [wugs] below the nail between the switch wave,The gentle [wugs] below the nail between the switch waves,13,13,02ddb2e6-bd80-4c85-9093-fc5b50e7f311,b9cd4188-a13e-47de-ae73-7459616519f0,dd54d6d8-245a-484d-880c-172cc2479bb8
1804,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The restless [wug] alongside the bridges near the gates,The restless [wugs] alongside the bridge near the gate,The restless [wug] alongside the bridges near the gates is,The restless [wug] alongside the bridges near the gates are,The restless [wugs] alongside the bridge near the gate are,The restless [wugs] alongside the bridge near the gate is,13,13,cc2e6c9d-30a4-4bd3-9c46-0de281f88835,79567206-9b53-4468-82e3-de6ec91ae420,fc52605b-7b39-4e56-a871-9ca41e5c9d27
1805,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The strange [wug] between the switches atop the sockets,The strange [wugs] between the switch atop the socket,The strange [wug] between the switches atop the sockets is,The strange [wug] between the switches atop the sockets are,The strange [wugs] between the switch atop the socket are,The strange [wugs] between the switch atop the socket is,13,13,a6327ecc-e816-49b2-b487-09bce9da2d34,7a749e99-6e7a-4b92-83b5-25f1556054c0,770b0484-caa4-4ada-9b80-2e677ad50e7f
1806,test,verb,2,target_verb_att2_opp,[wug],[wugs],picks,pick,The clever [wug] atop the tents opposite the poles,The clever [wugs] atop the tent opposite the pole,The clever [wug] atop the tents opposite the poles picks,The clever [wug] atop the tents opposite the poles pick,The clever [wugs] atop the tent opposite the pole pick,The clever [wugs] atop the tent opposite the pole picks,13,13,b4a7beb1-16d5-4740-8b25-56a1829c1f27,5c2778f2-4eac-418c-81a4-e3b93ab82ab9,e321c5fd-0374-4b68-8970-3d85f0d8fbc4
1807,test,verb,2,target_verb_att2_opp,[wug],[wugs],sings,sing,The strange [wug] by the knobs above the hinges,The strange [wugs] by the knob above the hinge,The strange [wug] by the knobs above the hinges sings,The strange [wug] by the knobs above the hinges sing,The strange [wugs] by the knob above the hinge sing,The strange [wugs] by the knob above the hinge sings,13,13,b5c5c068-76c4-40f8-af0b-e2d734464662,4c0926da-536d-4080-b330-ca43fe38df0f,c9140436-8401-456e-9c9f-97d0832d7024
1808,test,verb,2,target_verb_att2_opp,[wug],[wugs],digs,dig,The restless [wug] opposite the nails alongside the switches,The restless [wugs] opposite the nail alongside the switch,The restless [wug] opposite the nails alongside the switches digs,The restless [wug] opposite the nails alongside the switches dig,The restless [wugs] opposite the nail alongside the switch dig,The restless [wugs] opposite the nail alongside the switch digs,13,13,bf2c4333-79b3-41d6-9e5a-000f66cf6e70,2e86e5d9-0383-4c13-bfee-9a69befe9202,b2954f6e-6aed-43bf-b96f-71101411ad1d
1809,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The spotted [wug] under the cliffs by the slopes,The spotted [wugs] under the cliff by the slope,The spotted [wug] under the cliffs by the slopes is,The spotted [wug] under the cliffs by the slopes are,The spotted [wugs] under the cliff by the slope are,The spotted [wugs] under the cliff by the slope is,13,13,133ea606-4079-4841-be08-e704bcf02985,baa1f299-0ca4-4c80-b135-0a3659805be3,f4528a54-f16f-48bb-9d01-ffd78b7813a1
1810,test,verb,2,target_verb_att2_opp,[wug],[wugs],circles,circle,The tiny [wug] alongside the poles near the buckets,The tiny [wugs] alongside the pole near the bucket,The tiny [wug] alongside the poles near the buckets circles,The tiny [wug] alongside the poles near the buckets circle,The tiny [wugs] alongside the pole near the bucket circle,The tiny [wugs] alongside the pole near the bucket circles,13,13,a99e7a15-1f3e-40d9-bda5-7076f973e98e,8a3f22c7-a705-4b77-abfe-b43c3c578e7a,4554742a-90e3-4042-97e1-2dad9d3354d4
1811,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The round [wug] alongside the doors near the baskets,The round [wugs] alongside the door near the basket,The round [wug] alongside the doors near the baskets is,The round [wug] alongside the doors near the baskets are,The round [wugs] alongside the door near the basket are,The round [wugs] alongside the door near the basket is,13,13,dffb8438-ba66-412b-8a59-fe71aab42509,fcef6097-090c-4272-86b7-c3e92f151fa3,5a0f218e-4756-489d-8c44-53e330a40d52
1812,test,verb,2,target_verb_att2_opp,[wug],[wugs],waits,wait,The bold [wug] under the hooks by the knobs,The bold [wugs] under the hook by the knob,The bold [wug] under the hooks by the knobs waits,The bold [wug] under the hooks by the knobs wait,The bold [wugs] under the hook by the knob wait,The bold [wugs] under the hook by the knob waits,13,13,202762cb-73e2-4c06-9c7c-bcfbd9233a2c,caf91a35-7898-4e11-9c83-bb141c11a89b,f0157142-8c57-40f3-bda1-b3035dadc718
1813,test,verb,2,target_verb_att2_opp,[wug],[wugs],waits,wait,The restless [wug] below the boards between the shelves,The restless [wugs] below the board between the shelf,The restless [wug] below the boards between the shelves waits,The restless [wug] below the boards between the shelves wait,The restless [wugs] below the board between the shelf wait,The restless [wugs] below the board between the shelf waits,13,13,4f33aef4-037e-4530-85e4-9348df85fa19,1b491ae1-55bd-4ab4-a45d-85e32c1822b6,cb143db2-8adc-4888-929e-c29e62f58d2e
1814,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The round [wug] below the wells between the cabinets,The round [wugs] below the well between the cabinet,The round [wug] below the wells between the cabinets is,The round [wug] below the wells between the cabinets are,The round [wugs] below the well between the cabinet are,The round [wugs] below the well between the cabinet is,13,13,7fd34cd8-a8a2-46f3-9905-8d9a85ec2c30,93321d94-b093-4663-9015-2e621cf851bd,51a821a8-6328-470a-a22a-ff4a95d596a3
1815,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The sturdy [wug] below the wires between the ropes,The sturdy [wugs] below the wire between the rope,The sturdy [wug] below the wires between the ropes is,The sturdy [wug] below the wires between the ropes are,The sturdy [wugs] below the wire between the rope are,The sturdy [wugs] below the wire between the rope is,13,13,974ef184-75b1-453a-882d-0d8f33cebd69,3b01ce3b-1078-4d0d-a108-2ae8ae85a998,dab295dd-3b3d-49dc-a25e-0704f4dada13
1816,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The graceful [wug] near the jars beside the trees,The graceful [wugs] near the jar beside the tree,The graceful [wug] near the jars beside the trees is,The graceful [wug] near the jars beside the trees are,The graceful [wugs] near the jar beside the tree are,The graceful [wugs] near the jar beside the tree is,13,13,77f5608e-612b-473e-99dd-4b6536d938b8,c16c6b9c-fd93-4372-a8fa-6f53d5b286e7,7e25f398-26a9-479f-ba5f-0b3ada31d744
1817,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The sturdy [wug] by the bridges above the gates,The sturdy [wugs] by the bridge above the gate,The sturdy [wug] by the bridges above the gates is,The sturdy [wug] by the bridges above the gates are,The sturdy [wugs] by the bridge above the gate are,The sturdy [wugs] by the bridge above the gate is,13,13,1597e6a6-5bad-46c0-ae60-f5443bb8770f,f732f899-c134-4613-9303-83acd88707bb,c6c5e046-247e-4114-8529-45c6ace613ba
1818,test,verb,2,target_verb_att2_opp,[wug],[wugs],ignores,ignore,The curious [wug] beside the braces under the panels,The curious [wugs] beside the brace under the panel,The curious [wug] beside the braces under the panels ignores,The curious [wug] beside the braces under the panels ignore,The curious [wugs] beside the brace under the panel ignore,The curious [wugs] beside the brace under the panel ignores,13,13,aaf826de-5266-424a-872f-31e9e8e9001e,503d582d-7b88-41b9-a122-24e71840db6b,8b55ca45-b288-41a1-b1c2-4e6e94d80c50
1819,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The wary [wug] beside the panels under the boards,The wary [wugs] beside the panel under the board,The wary [wug] beside the panels under the boards is,The wary [wug] beside the panels under the boards are,The wary [wugs] beside the panel under the board are,The wary [wugs] beside the panel under the board is,13,13,992ecddf-8991-44a2-85c0-d0b590e4db6b,a72fe7a6-8154-412f-a06c-1a4f561fb3b6,5b2a43fc-c7c1-46ad-bfb6-a5169f779491
1820,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The curious [wug] by the baskets above the pillars,The curious [wugs] by the basket above the pillar,The curious [wug] by the baskets above the pillars is,The curious [wug] by the baskets above the pillars are,The curious [wugs] by the basket above the pillar are,The curious [wugs] by the basket above the pillar is,13,13,3b9c5a8e-575a-40de-8086-e2e386d7cf8f,4a998e10-4fda-4f22-abda-9a55bf9d5994,1e9cd0e5-f0d0-404d-a197-7fcbf59437f9
1821,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The wary [wug] alongside the bins near the beams,The wary [wugs] alongside the bin near the beam,The wary [wug] alongside the bins near the beams is,The wary [wug] alongside the bins near the beams are,The wary [wugs] alongside the bin near the beam are,The wary [wugs] alongside the bin near the beam is,13,13,f1ae34e1-2696-4807-9258-6e063aa290d5,a5fe1122-d08f-4969-bcdf-40844f7f493c,9243ef2f-c45d-4a90-a13a-e01cdd1138e6
1822,test,verb,2,target_verb_att2_opp,[wug],[wugs],surrounds,surround,The round [wug] near the cabinets beside the desks,The round [wugs] near the cabinet beside the desk,The round [wug] near the cabinets beside the desks surrounds,The round [wug] near the cabinets beside the desks surround,The round [wugs] near the cabinet beside the desk surround,The round [wugs] near the cabinet beside the desk surrounds,13,13,d72c795d-695f-427a-87bf-82ffc6de3eae,e0b1044c-8760-4e06-b0ac-8ee677919e74,d71906d4-7580-4565-87d7-4fd623e6e967
1823,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The sturdy [wug] by the switches above the sockets,The sturdy [wugs] by the switch above the socket,The sturdy [wug] by the switches above the sockets is,The sturdy [wug] by the switches above the sockets are,The sturdy [wugs] by the switch above the socket are,The sturdy [wugs] by the switch above the socket is,13,13,50bc1ffd-aaf5-47d6-a440-a52652094595,b9499f10-fd59-4d28-a7ac-e9f79c601d70,bd9cea64-7145-4681-8d3b-716ff182d42e
1824,test,verb,2,target_verb_att2_opp,[wug],[wugs],watches,watch,The sturdy [wug] beside the panels under the boards,The sturdy [wugs] beside the panel under the board,The sturdy [wug] beside the panels under the boards watches,The sturdy [wug] beside the panels under the boards watch,The sturdy [wugs] beside the panel under the board watch,The sturdy [wugs] beside the panel under the board watches,13,13,f45f429e-5841-4db3-bd1b-3c8f4ca27ad5,38da443e-eb33-4bb3-8d73-45c5036f2ce0,e7307012-90f3-45b2-b8dc-fe68e68720d5
1825,test,verb,2,target_verb_att2_opp,[wug],[wugs],knows,know,The clever [wug] under the heaps by the pens,The clever [wugs] under the heap by the pen,The clever [wug] under the heaps by the pens knows,The clever [wug] under the heaps by the pens know,The clever [wugs] under the heap by the pen know,The clever [wugs] under the heap by the pen knows,13,13,60254225-7ef1-4755-9592-9ba47ddfe80d,984fd928-3bf9-43ca-aa82-fc31d782bba3,75657857-2459-4a6c-af77-137795dfcd23
1826,test,verb,2,target_verb_att2_opp,[wug],[wugs],hides,hide,The clumsy [wug] beside the bulbs under the roots,The clumsy [wugs] beside the bulb under the root,The clumsy [wug] beside the bulbs under the roots hides,The clumsy [wug] beside the bulbs under the roots hide,The clumsy [wugs] beside the bulb under the root hide,The clumsy [wugs] beside the bulb under the root hides,13,13,55a582cd-45c7-44c6-bef2-1c113484631b,a7194878-14a4-4a63-9a61-bbb81e4feffd,a7774f2b-f4a1-4db2-94d5-9a6c5c9661e0
1827,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The gentle [wug] below the banks between the locks,The gentle [wugs] below the bank between the lock,The gentle [wug] below the banks between the locks is,The gentle [wug] below the banks between the locks are,The gentle [wugs] below the bank between the lock are,The gentle [wugs] below the bank between the lock is,13,13,fb54d61a-473f-43c5-8914-96be5d39e7d0,797de2fe-a5f4-40e7-b526-a3360a6a31b1,3e9a9d1e-d3d2-4651-b5a1-ded65cb7b6d4
1828,test,verb,2,target_verb_att2_opp,[wug],[wugs],defends,defend,The graceful [wug] atop the pillars opposite the wells,The graceful [wugs] atop the pillar opposite the well,The graceful [wug] atop the pillars opposite the wells defends,The graceful [wug] atop the pillars opposite the wells defend,The graceful [wugs] atop the pillar opposite the well defend,The graceful [wugs] atop the pillar opposite the well defends,13,13,39dc5144-a32d-49f5-a649-d8a86218672c,88e5ca42-2c94-4812-a9fc-180fcc922cd4,b8efaa2f-92f2-4166-aad4-3d26134e54b4
1829,test,verb,2,target_verb_att2_opp,[wug],[wugs],stacks,stack,The restless [wug] opposite the heaps alongside the pens,The restless [wugs] opposite the heap alongside the pen,The restless [wug] opposite the heaps alongside the pens stacks,The restless [wug] opposite the heaps alongside the pens stack,The restless [wugs] opposite the heap alongside the pen stack,The restless [wugs] opposite the heap alongside the pen stacks,13,13,7a83af30-9817-4f82-bfd5-6a6d6b2dbe1e,9cf3598b-94f6-42be-9810-9376229a152d,57ffde49-4e5f-4bf5-be63-63caf70433d6
1830,test,verb,2,target_verb_att2_opp,[wug],[wugs],appears,appear,The bold [wug] under the ponds by the bridges,The bold [wugs] under the pond by the bridge,The bold [wug] under the ponds by the bridges appears,The bold [wug] under the ponds by the bridges appear,The bold [wugs] under the pond by the bridge appear,The bold [wugs] under the pond by the bridge appears,13,13,79376e47-1ffc-480e-8b9a-f9cb63cda96e,7ac072b6-1f91-4e30-b1db-b04091bdf3f6,1a0896e2-3515-4db9-b6fd-b6b09de74a36
1831,test,verb,2,target_verb_att2_opp,[wug],[wugs],searches,search,The clumsy [wug] by the cords above the straps,The clumsy [wugs] by the cord above the strap,The clumsy [wug] by the cords above the straps searches,The clumsy [wug] by the cords above the straps search,The clumsy [wugs] by the cord above the strap search,The clumsy [wugs] by the cord above the strap searches,13,13,40e49180-70ae-4891-bb1f-dc00693eb76f,a9a57001-d890-4eac-920c-0ef3cfe7cfa6,165a10ff-b84d-4e1d-9829-4c211cac4d3c
1832,test,verb,2,target_verb_att2_opp,[wug],[wugs],escorts,escort,The lively [wug] by the knobs above the hinges,The lively [wugs] by the knob above the hinge,The lively [wug] by the knobs above the hinges escorts,The lively [wug] by the knobs above the hinges escort,The lively [wugs] by the knob above the hinge escort,The lively [wugs] by the knob above the hinge escorts,13,13,d3d007ba-3b89-4c30-8d94-3e3dfe69cb1b,4161da2b-c7e7-412f-bc75-067310b5b659,6471532a-efd3-46be-a5e1-13b5b8bd5091
1833,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The tiny [wug] between the jars atop the trees,The tiny [wugs] between the jar atop the tree,The tiny [wug] between the jars atop the trees is,The tiny [wug] between the jars atop the trees are,The tiny [wugs] between the jar atop the tree are,The tiny [wugs] between the jar atop the tree is,13,13,5a220f41-c6e7-40cc-ab5d-2cd67f7689e4,d1e7e319-7ce5-4097-b7b0-1211ba0e4201,756544f7-9aa4-497e-9d70-e3a0b03e3e75
1834,test,verb,2,target_verb_att2_opp,[wug],[wugs],runs,run,The tiny [wug] near the sockets beside the wires,The tiny [wugs] near the socket beside the wire,The tiny [wug] near the sockets beside the wires runs,The tiny [wug] near the sockets beside the wires run,The tiny [wugs] near the socket beside the wire run,The tiny [wugs] near the socket beside the wire runs,13,13,826efb25-666f-4105-b96f-faa14bbf4634,b540b5e8-34a0-4edf-99d5-c59d1b218bcc,884775c6-9730-4d23-9cbf-0ad910513bb2
1835,test,verb,2,target_verb_att2_opp,[wug],[wugs],lifts,lift,The graceful [wug] opposite the posts alongside the doors,The graceful [wugs] opposite the post alongside the door,The graceful [wug] opposite the posts alongside the doors lifts,The graceful [wug] opposite the posts alongside the doors lift,The graceful [wugs] opposite the post alongside the door lift,The graceful [wugs] opposite the post alongside the door lifts,13,13,bc6bb68e-2d2a-4596-bd34-85fd8444469f,afd7605e-8e95-448a-9166-aab8221fd7d4,8d42d259-87d5-431b-9d90-671598eef39d
1836,test,verb,2,target_verb_att2_opp,[wug],[wugs],leads,lead,The graceful [wug] atop the sacks opposite the bins,The graceful [wugs] atop the sack opposite the bin,The graceful [wug] atop the sacks opposite the bins leads,The graceful [wug] atop the sacks opposite the bins lead,The graceful [wugs] atop the sack opposite the bin lead,The graceful [wugs] atop the sack opposite the bin leads,13,13,1dc93282-23fb-46c9-bd9a-de018386a527,1e7785c1-1d0c-4cfe-a6e8-0a27d3a8068b,eccb8f2e-4954-45c7-bb75-be7af6f71ccb
1837,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The graceful [wug] between the ropes atop the cords,The graceful [wugs] between the rope atop the cord,The graceful [wug] between the ropes atop the cords is,The graceful [wug] between the ropes atop the cords are,The graceful [wugs] between the rope atop the cord are,The graceful [wugs] between the rope atop the cord is,13,13,8b330ab6-323e-47f0-bf72-840b93e07f02,ce673871-77df-419e-ae74-4af54c8b3986,f5f537fe-bd24-4a9b-a8f8-9cc7c0f097a1
1838,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The clumsy [wug] below the banks between the locks,The clumsy [wugs] below the bank between the lock,The clumsy [wug] below the banks between the locks is,The clumsy [wug] below the banks between the locks are,The clumsy [wugs] below the bank between the lock are,The clumsy [wugs] below the bank between the lock is,13,13,62985427-15d8-4549-882a-9e4df0aecfa1,1454754c-249a-486c-b43f-b6779c2a4112,2a2698d1-fc10-406b-ad9a-5bc0f01315b1
1839,test,verb,2,target_verb_att2_opp,[wug],[wugs],investigates,investigate,The strange [wug] between the poles atop the buckets,The strange [wugs] between the pole atop the bucket,The strange [wug] between the poles atop the buckets investigates,The strange [wug] between the poles atop the buckets investigate,The strange [wugs] between the pole atop the bucket investigate,The strange [wugs] between the pole atop the bucket investigates,13,13,f4a5f0f8-28dc-4e01-ae35-3dedcd917bc3,601a7b3a-7b93-4e15-8488-884e90cb8f11,a773f080-1a2b-4ace-903b-44493a9df86b
1840,test,verb,2,target_verb_att2_opp,[wug],[wugs],raises,raise,The clumsy [wug] alongside the mirrors near the bushes,The clumsy [wugs] alongside the mirror near the bush,The clumsy [wug] alongside the mirrors near the bushes raises,The clumsy [wug] alongside the mirrors near the bushes raise,The clumsy [wugs] alongside the mirror near the bush raise,The clumsy [wugs] alongside the mirror near the bush raises,13,13,6e4d741d-b27f-4bce-b285-779137464622,0d4c854b-3ccf-48a6-a00d-4888e14e3607,cf6c76f6-0989-4cb0-9ca5-9a155d472990
1841,test,verb,2,target_verb_att2_opp,[wug],[wugs],is,are,The shy [wug] opposite the straps alongside the heaps,The shy [wugs] opposite the strap alongside the heap,The shy [wug] opposite the straps alongside the heaps is,The shy [wug] opposite the straps alongside the heaps are,The shy [wugs] opposite the strap alongside the heap are,The shy [wugs] opposite the strap alongside the heap is,13,13,bbd97f96-e3be-4d9b-a437-f3fc9522f3de,093c85e6-b064-4eb1-9800-aefbeebd13cf,1601f38a-0f36-43be-8ea4-0bc96abb3299
